sport,model,level,central_mass,prior_central,central_ratio,entropy,normalized_entropy
bb,gemini,0,0.36456291650333206,0.5634920634920635,0.6469708095692935,3.019521948468052,0.7374860377723765
bb,gemini,1,0.4827859121487931,0.5634920634920635,0.8567749990246187,2.9862842959875704,0.7293680955778771
bb,gemini,2,0.505893909626719,0.5634920634920635,0.8977835579291069,3.0372667000169775,0.7418200041201659
bb,gpt,0,0.5242914979757085,0.5634920634920635,0.9304327992244968,3.001531322620006,0.7330920192488641
bb,gpt,1,0.5315832649712879,0.5634920634920635,0.9433731181180602,3.019800764511786,0.7375541356179526
bb,gpt,2,0.4367588932806324,0.5634920634920635,0.7750932472304181,3.0305146067232824,0.7401708773329395
bb,human,0,0.6158666666666667,0.5634920634920635,1.0929464788732395,3.278593504926915,0.8007615028735008
bb,llama,0,0.42038461538461536,0.5634920634920635,0.7460346695557962,2.4395973454451454,0.5958456374079851
bb,llama,1,0.43218033424018654,0.5634920634920635,0.7669679171023028,2.8088776721241313,0.686038419443547
bb,llama,2,0.00962463907603465,0.5634920634920635,0.017080345402540366,1.082043947544438,0.26427769600250406
bb,qwen,0,0.4230769230769231,0.5634920634920635,0.7508125677139762,2.4384655428812456,0.5955692067005302
bb,qwen,1,0.4425377015080603,0.5634920634920635,0.7853485970424733,2.800765074838057,0.6840570040636769
bb,qwen,2,0.009775171065493646,0.5634920634920635,0.01734748667960844,1.1145747166115614,0.27222298946101753
