sport,model,level,central_mass,prior_central,central_ratio,entropy,normalized_entropy
vball,gemini,0,0.7983063895304081,0.46153846153846156,1.729663843982551,2.881292915203137,0.7037250703783927
vball,gemini,1,0.7792810204870506,0.46153846153846156,1.6884422110552761,2.9073321858839667,0.7100848845770046
vball,gemini,2,0.7725490196078431,0.46153846153846156,1.6738562091503266,3.061633069990502,0.7477712301597008
vball,gpt,0,0.7021617293835068,0.46153846153846156,1.5213504136642648,2.982497452680968,0.7284431994805768
vball,gpt,1,0.7334123222748815,0.46153846153846156,1.5890600315955765,2.8261962899634514,0.6902683071767672
vball,gpt,2,0.6237816764132553,0.46153846153846156,1.3515269655620532,2.9134652886977808,0.7115828295400161
vball,human,0,0.7392000000000001,0.46153846153846156,1.6016000000000001,3.1425793523358694,0.7675414964661194
vball,llama,0,0.6411538461538461,0.46153846153846156,1.3891666666666664,2.064699820849523,0.5042809146792864
vball,llama,1,0.6279519938056523,0.46153846153846156,1.36056265324558,2.689252815576165,0.6568213238303134
vball,llama,2,0.03996101364522417,0.46153846153846156,0.08658219623131903,0.40391341565092065,0.09865154471310715
vball,qwen,0,0.645,0.46153846153846156,1.3975,2.0721855671809255,0.5061092283977927
vball,qwen,1,0.6272235112142305,0.46153846153846156,1.3589842742974994,2.6831574253747643,0.655332589770742
vball,qwen,2,0.04734299516908212,0.46153846153846156,0.10257648953301125,0.4263837063991894,0.10413967362038054
