sport,model,level,central_mass,prior_central,central_ratio,entropy,normalized_entropy
soccer,gemini,0,0.2480499219968799,0.364406779661017,0.6806951347821355,3.0750579076403666,0.7510501036022864
soccer,gemini,1,0.3312401883830455,0.364406779661017,0.9089847030046363,3.0466808829489884,0.7441193179148266
soccer,gemini,2,0.5019108280254777,0.364406779661017,1.377336690860613,3.2444177477806364,0.7924144386176947
soccer,gpt,0,0.22706705059646237,0.364406779661017,0.6231142318693618,3.1535077694741416,0.7702106458188893
soccer,gpt,1,0.24750415973377698,0.364406779661017,0.6791974615950158,3.159331902517497,0.7716331282101111
soccer,gpt,2,0.32612966601178783,0.364406779661017,0.8949604788230456,3.4145364627049357,0.8339641207069743
soccer,human,0,0.4242666666666667,0.364406779661017,1.1642666666666666,3.3459855194077677,0.8172212837875619
soccer,llama,0,0.6259659969088098,0.364406779661017,1.7177671543078965,2.74839725938633,0.6712667235545774
soccer,llama,1,0.4820872274143302,0.364406779661017,1.3229370426718827,3.007272525591739,0.7344942468544022
soccer,llama,2,0.14932562620423892,0.364406779661017,0.4097772998162835,1.7024950998472774,0.4158162738807923
soccer,qwen,0,0.6010200078462142,0.364406779661017,1.64931071920589,2.7919809163300577,0.6819115670164266
soccer,qwen,1,0.4819136522753792,0.364406779661017,1.322460720197552,3.0184268265394985,0.7372185659189672
soccer,qwen,2,0.15384615384615385,0.364406779661017,0.4221824686940966,1.6978669617621207,0.4146859005048288
